country,date,confirmed,deaths,recovered
Russia,1/22/20,0,0,0
Russia,1/23/20,0,0,0
Russia,1/24/20,0,0,0
Russia,1/25/20,0,0,0
Russia,1/26/20,0,0,0
Russia,1/27/20,0,0,0
Russia,1/28/20,0,0,0
Russia,1/29/20,0,0,0
Russia,1/30/20,0,0,0
Russia,1/31/20,2,0,0
Russia,2/1/20,2,0,0
Russia,2/2/20,2,0,0
Russia,2/3/20,2,0,0
Russia,2/4/20,2,0,0
Russia,2/5/20,2,0,0
Russia,2/6/20,2,0,0
Russia,2/7/20,2,0,0
Russia,2/8/20,2,0,0
Russia,2/9/20,2,0,0
Russia,2/10/20,2,0,0
Russia,2/11/20,2,0,0
Russia,2/12/20,2,0,2
Russia,2/13/20,2,0,2
Russia,2/14/20,2,0,2
Russia,2/15/20,2,0,2
Russia,2/16/20,2,0,2
Russia,2/17/20,2,0,2
Russia,2/18/20,2,0,2
Russia,2/19/20,2,0,2
Russia,2/20/20,2,0,2
Russia,2/21/20,2,0,2
Russia,2/22/20,2,0,2
Russia,2/23/20,2,0,2
Russia,2/24/20,2,0,2
Russia,2/25/20,2,0,2
Russia,2/26/20,2,0,2
Russia,2/27/20,2,0,2
Russia,2/28/20,2,0,2
Russia,2/29/20,2,0,2
Russia,3/1/20,2,0,2
Russia,3/2/20,3,0,2
Russia,3/3/20,3,0,2
Russia,3/4/20,3,0,2
Russia,3/5/20,4,0,2
Russia,3/6/20,13,0,2
Russia,3/7/20,13,0,2
Russia,3/8/20,17,0,3
Russia,3/9/20,17,0,3
Russia,3/10/20,20,0,3
Russia,3/11/20,20,0,3
Russia,3/12/20,28,0,3
Russia,3/13/20,45,0,3
Russia,3/14/20,59,0,8
Russia,3/15/20,63,0,8
Russia,3/16/20,90,0,8
Russia,3/17/20,114,0,8
Russia,3/18/20,147,0,8
Russia,3/19/20,199,1,9
Russia,3/20/20,253,1,9
Russia,3/21/20,306,1,12
